icon_code	icon_description	season	activity_prompt
03d	scattered clouds	winter	enjoying a popcorn string decoration
03d	scattered clouds	winter	finding a wind-up toy in a Christmas cracker
03d	scattered clouds	winter	hopping between warm footprints in the snow
03d	scattered clouds	winter	catching a ride on a remote-controlled sleigh
03d	scattered clouds	winter	tossing a coin into a small frozen pond for luck
03d	scattered clouds	winter	eating a tiny gingerbread cookie
03d	scattered clouds	winter	slurping noodle soup to stay warm
03d	scattered clouds	winter	wearing tiny woolen mittens
03d	scattered clouds	winter	looking up in wonder at the falling snow
03d	scattered clouds	winter	chewing on a candy cane
03d	scattered clouds	winter	squinting at the winter sun peeking from behind the clouds
03d	scattered clouds	winter	sniffing at a pine sprig curiously
03d	scattered clouds	winter	drawing heart shapes in the frost on a window
03d	scattered clouds	winter	waving a tiny paw at the moon
03d	scattered clouds	winter	wearing a small, red Rudolph nose
03d	scattered clouds	winter	hopping up and down to keep warm
03d	scattered clouds	winter	checking a little pocket watch
03d	scattered clouds	winter	wearing a fluffy earmuff
03d	scattered clouds	winter	attempting to climb up a small snow hill
03d	scattered clouds	winter	roasting miniature marshmallows
03d	scattered clouds	winter	trying to open a small present
03d	scattered clouds	winter	chasing a small snowflake
03d	scattered clouds	winter	holding a tiny sparkler, twinkling in the winter night
04d	broken clouds	spring	juggling spring blossoms
04d	broken clouds	spring	admiring a cherry blossom petal
04d	broken clouds	spring	catching raindrops on its tongue
04d	broken clouds	spring	flying a paper airplane
04d	broken clouds	spring	riding a monowheel unicycle
04d	broken clouds	spring	playing with a wind-up toy
04d	broken clouds	spring	sliding down a rainbow
04d	broken clouds	spring	dancing with daisies
04d	broken clouds	spring	balancing on a lily pad
04d	broken clouds	spring	skipping over rain puddles
04d	broken clouds	spring	having a picnic under a tulip
04d	broken clouds	spring	reading a book under a cloud
04d	broken clouds	spring	bouncing on a large dandelion
04d	broken clouds	spring	making a flower crown
04d	broken clouds	spring	painting Easter eggs
04d	broken clouds	spring	blowing soap bubbles
04d	broken clouds	spring	jumping rope with a vine
04d	broken clouds	spring	hula-hooping with a sunflower stem
04d	broken clouds	spring	catching a flock of butterflies
04d	broken clouds	spring	spinning a pinwheel
04d	broken clouds	spring	doing a handstand on a mushroom
04d	broken clouds	spring	sneezing from pollen
04d	broken clouds	spring	singing to a baby bird
04d	broken clouds	spring	marching with ants on a twig
04d	broken clouds	spring	doing yoga on a leaf
04d	broken clouds	spring	planting a sunflower seed
04d	broken clouds	spring	swinging on a daisy chain
04d	broken clouds	spring	spreading honey on a piece of bread
04d	broken clouds	spring	holding a ladybug
04d	broken clouds	spring	sipping nectar from a flower
04d	broken clouds	spring	pretending to be a snail
04d	broken clouds	spring	kicking a pebble
04d	broken clouds	spring	chasing a rainbow
04d	broken clouds	spring	struggling with a too-big raincoat
04d	broken clouds	spring	twirling an umbrella
04d	broken clouds	spring	splashing water with its tail
04d	broken clouds	spring	playing peekaboo with the sun
04d	broken clouds	spring	riding a bottle cap like a boat
04d	broken clouds	spring	playing keep-away with a fresh green leaf
04d	broken clouds	spring	climbing a blade of grass
04d	broken clouds	spring	talking to a worm
04d	broken clouds	spring	shaking off rain from its gills
04d	broken clouds	spring	napping under a daisy parasol
04d	broken clouds	spring	playing hide-and-seek in the clouds
04d	broken clouds	spring	swinging from a daisy to a daisy
04d	broken clouds	spring	making shadow puppets with the sunlight peeking through the clouds
04d	broken clouds	spring	waving hello to a passing bumblebee
04d	broken clouds	spring	taking a selfie with a sunflower
04d	broken clouds	spring	dreaming under a patch of cloud
04d	broken clouds	spring	jumping through rain puddles
04d	broken clouds	summer	observing a cloud shape
04d	broken clouds	summer	sitting on a lily pad
04d	broken clouds	summer	enjoying a soft breeze
04d	broken clouds	summer	sniffing a blooming flower
04d	broken clouds	summer	trying to jump over a puddle
04d	broken clouds	summer	climbing up a tree
04d	broken clouds	summer	flying a handmade paper plane
04d	broken clouds	summer	sipping on a lemonade
04d	broken clouds	summer	swinging on a tire swing
04d	broken clouds	summer	chasing a butterfly
04d	broken clouds	summer	blowing dandelion seeds
04d	broken clouds	summer	reading a book under a tree
04d	broken clouds	summer	napping on a hammock
04d	broken clouds	summer	floating on a leaf in a pond
04d	broken clouds	summer	eating a green apple
04d	broken clouds	summer	yoga stretching
04d	broken clouds	summer	dancing in a sunbeam
04d	broken clouds	summer	trying to ride a bicycle
04d	broken clouds	summer	drawing a rainbow in the sand
04d	broken clouds	summer	enjoying a popsicle
04d	broken clouds	summer	hopping on stones across a creek
04d	broken clouds	summer	fishing with a small stick
04d	broken clouds	summer	catching fireflies in a jar
04d	broken clouds	summer	making a daisy chain
04d	broken clouds	summer	playing peek-a-boo with a cloud
04d	broken clouds	summer	walking barefoot on the grass
04d	broken clouds	summer	juggling three softballs
04d	broken clouds	summer	searching for four-leaf clovers
04d	broken clouds	summer	having a picnic alone
04d	broken clouds	summer	burying a mini treasure chest
04d	broken clouds	summer	balancing on a log
04d	broken clouds	summer	running with a pinwheel
04d	broken clouds	summer	picking up seashells
04d	broken clouds	summer	making cloud shapes with hands
04d	broken clouds	summer	kicking a soccer ball
04d	broken clouds	summer	building a sandcastle
04d	broken clouds	summer	trying to catch a rainbow
04d	broken clouds	summer	hula hooping
04d	broken clouds	summer	singing to the tunes of nature
04d	broken clouds	summer	making a paper boat
04d	broken clouds	summer	painting a rock
04d	broken clouds	summer	meditating in lotus position
04d	broken clouds	summer	chasing a dragonfly
04d	broken clouds	summer	dodging raindrops
04d	broken clouds	summer	picnicking under a large mushroom
04d	broken clouds	summer	paddling a tiny canoe
04d	broken clouds	summer	making a leaf hat
04d	broken clouds	summer	leaping to touch a low cloud
04d	broken clouds	summer	playing with a yo-yo
04d	broken clouds	summer	catching a leaf falling from a tree
04d	broken clouds	fall	jumping through a pile of leaves
04d	broken clouds	fall	holding a tiny broken cloud balloon
04d	broken clouds	fall	catching falling leaves with a handmade net
04d	broken clouds	fall	sipping on a cup of warm hot chocolate
04d	broken clouds	fall	looking up at the broken clouds curiously
04d	broken clouds	fall	wearing a cozy scarf to keep warm
04d	broken clouds	fall	snuggling under a blanket
04d	broken clouds	fall	tossing a fallen leaf into the air
04d	broken clouds	fall	trying to catch a falling acorn
04d	broken clouds	fall	collecting pine cones in a small basket
04d	broken clouds	fall	running in the wind, scarf flying behind
04d	broken clouds	fall	rolling a large pumpkin
04d	broken clouds	fall	carving a mini pumpkin with a pocket knife
04d	broken clouds	fall	lighting a small candle inside of a carved pumpkin
04d	broken clouds	fall	making a pile of leaves
04d	broken clouds	fall	wearing a raincoat and wellies, jumping in puddles
04d	broken clouds	fall	enjoying a slice of pumpkin pie
04d	broken clouds	fall	picking apples from a tree
04d	broken clouds	fall	starting a small bonfire
04d	broken clouds	fall	roasting marshmallows over a small bonfire
04d	broken clouds	fall	making shadow figures on a wall with a flashlight
04d	broken clouds	fall	munching on a caramel apple
04d	broken clouds	fall	running after a gust of wind that took his hat
04d	broken clouds	fall	sitting by a pond, watching the falling leaves
04d	broken clouds	fall	swinging on a rope swing
04d	broken clouds	fall	chasing a squirrel trying to store nuts
04d	broken clouds	fall	planting bulbs for spring flowers
04d	broken clouds	fall	wearing a knitted hat and mittens
04d	broken clouds	fall	fishing from a small paddle boat
04d	broken clouds	fall	clapping hands to create warmth
04d	broken clouds	fall	collecting colorful autumn leaves for a scrapbook
04d	broken clouds	fall	using an umbrella as a parachute
04d	broken clouds	fall	dancing around in the cool weather
04d	broken clouds	fall	playing hide-and-seek behind large pumpkins
04d	broken clouds	fall	reading a book under a tree
04d	broken clouds	fall	catching raindrops on a tongue
04d	broken clouds	fall	gazing at the cloudy sky and daydreaming
04d	broken clouds	fall	harvesting corn from a small stalk
04d	broken clouds	fall	trying on a Halloween mask
04d	broken clouds	fall	walking briskly to keep warm
04d	broken clouds	fall	trying to balance on a large tree branch
04d	broken clouds	fall	chasing after a runaway kite
04d	broken clouds	fall	scooping up handfuls of colorful leaves
04d	broken clouds	fall	wearing a ghost costume, preparing for Halloween
04d	broken clouds	fall	raking up leaves into a pile
04d	broken clouds	fall	juggling small apples
04d	broken clouds	fall	piling up fallen twigs for a bonfire
04d	broken clouds	fall	pulling a wagon filled with pumpkins
04d	broken clouds	fall	exploring the woods, looking for hibernating animals
04d	broken clouds	fall	making a leaf crown and posing with it
04d	broken clouds	winter	wearing a tiny knitted hat
04d	broken clouds	winter	catching snowflakes on its tongue
04d	broken clouds	winter	gathering tiny twigs for a fireplace
04d	broken clouds	winter	drinking hot chocolate from a thimble
04d	broken clouds	winter	lying on its back to make an __ANIMAL__ snow angel
04d	broken clouds	winter	skiing on toothpicks down a hill
04d	broken clouds	winter	peering curiously at a robin on a branch
04d	broken clouds	winter	tossing tiny snowballs with its tail
04d	broken clouds	winter	wrapping itself in a small woolen scarf
04d	broken clouds	winter	skating on an icy puddle
04d	broken clouds	winter	walking carefully over a thin layer of fresh snow
04d	broken clouds	winter	holding up a single, delicate icicle
04d	broken clouds	winter	building a small igloo from snow cubes
04d	broken clouds	winter	sliding on its belly like a penguin
04d	broken clouds	winter	snuggling inside the pocket of a kid's coat
04d	broken clouds	winter	having a snowflake land on its nose
04d	broken clouds	winter	curling up in a pine cone for a nap
04d	broken clouds	winter	warming its paws by a candle
04d	broken clouds	winter	waving at a squirrel from across the tree
04d	broken clouds	winter	juggling tiny marshmallows
04d	broken clouds	winter	hopping between snowy footprints
04d	broken clouds	winter	sniffing a candy cane
04d	broken clouds	winter	swinging on a piece of tinsel hung on a tree branch
04d	broken clouds	winter	shivering and blowing out puffs of breath
04d	broken clouds	winter	holding a tiny mug of cocoa with both hands
04d	broken clouds	winter	balancing a stack of snowballs with its tail
04d	broken clouds	winter	slipping and sliding on patches of ice
04d	broken clouds	winter	chasing after a wind up toy mouse
04d	broken clouds	winter	watching its own breath in the frosty air
04d	broken clouds	winter	wearing earmuffs over its gill stalks
04d	broken clouds	winter	playing hide-and-seek among snow drifts
04d	broken clouds	winter	wrestling with a ball of yarn
04d	broken clouds	winter	trying to catch falling snowflakes in a cup
04d	broken clouds	winter	wrapping presents for its pond friends
04d	broken clouds	winter	sipping soup from a bottle cap
04d	broken clouds	winter	looking at its reflection in a frozen puddle
04d	broken clouds	winter	struggling to keep a large woolen mittens on
04d	broken clouds	winter	celebrating by popping a mini confetti cannon
04d	broken clouds	winter	knitting a tiny sweater with toothpick needles
04d	broken clouds	winter	tasting a gingerbread cookie crumb
04d	broken clouds	winter	throwing a paper airplane into the windy sky
04d	broken clouds	winter	observing a snowman from a distance with curiosity
04d	broken clouds	winter	holding a 'Happy New Year' sign
04d	broken clouds	winter	singing to carols from a hidden radio
04d	broken clouds	winter	hanging star-shaped decorations on a bush
04d	broken clouds	winter	wearing a fluffy parka against the chill
04d	broken clouds	winter	nibbling on a piece of cranberry
04d	broken clouds	winter	rolling itself into a ball to keep warm
04d	broken clouds	winter	watching flakes fall on its own tiny umbrella
04d	broken clouds	winter	balancing a snowflake delicately on its nose
09d	shower rain	spring	splashing through a muddy puddle
09d	shower rain	spring	enjoying a cup of hot tea
09d	shower rain	spring	dancing joyfully beneath the shower rain
09d	shower rain	spring	gazing at blooming cherry blossoms
09d	shower rain	spring	sheltering under a large leaf
09d	shower rain	spring	sliding down a rainbow
09d	shower rain	spring	reading a book by the window
09d	shower rain	spring	making a daisy chain in the shower rain
09d	shower rain	spring	swinging on a cloud
09d	shower rain	spring	dashing through the rain with tiny boots on
09d	shower rain	spring	catching raindrops on its tongue
09d	shower rain	spring	planting flower seeds in the wet soil
09d	shower rain	spring	sailing paper boats in puddles
09d	shower rain	spring	jumping rope under the spring rain
09d	shower rain	spring	playing with a rubber duck in a rain puddle
09d	shower rain	spring	enjoying the fragrance of a damp rose
09d	shower rain	spring	sipping rainwater from a leaf
09d	shower rain	spring	wearing a tulip as a hat
09d	shower rain	spring	using lily pads as mini umbrellas
09d	shower rain	spring	floating on a leaf down a stream
09d	shower rain	spring	giving a friendly frog a high-five
09d	shower rain	spring	exploring under a mushroom
09d	shower rain	spring	sweeping away the fallen cherry blossoms
09d	shower rain	spring	observing a snail race up a stem
09d	shower rain	spring	spinning a lotus leaf in the rain
09d	shower rain	spring	donning a tiny raincoat and matching boots
09d	shower rain	spring	whistling a cheerful tune amidst the rainfall
09d	shower rain	spring	holding a daffodil like a sunflower
09d	shower rain	spring	tossing pebbles into a rain-filled pond
09d	shower rain	spring	giggling as a butterfly lands on its nose
09d	shower rain	spring	chasing after a rainbow
09d	shower rain	spring	riding a bottle cork down a rushing waterway
09d	shower rain	spring	watching the worms emerge post-rain
09d	shower rain	spring	spotting shapes in the clouds
09d	shower rain	spring	feeding rain-soaked bread to ducks
09d	shower rain	spring	trying to hug the entire earth
09d	shower rain	spring	using a shell as a boat
09d	shower rain	spring	performing a rain dance
09d	shower rain	spring	painting fruit in the form of watercolor
09d	shower rain	spring	making a leaf trumpet, playing a spring melody
09d	shower rain	spring	wearing a necklace made of raindrops
09d	shower rain	spring	flying a dragonfly like a kite
09d	shower rain	spring	playing hopscotch on lily pads
09d	shower rain	spring	using a stick as a sword, fighting raindrops
09d	shower rain	spring	gathering rainwater in a tiny pail
09d	shower rain	spring	chasing after a rain-soaked butterfly
09d	shower rain	spring	doing cartwheels in the soft spring rain
09d	shower rain	spring	clapping along to the rhythm of raindrops on a tin can
09d	shower rain	spring	marvelling at a shower rain-created mini waterfall
09d	shower rain	spring	blowing bubbles, each reflecting a mini rainbow
09d	shower rain	summer	the __ANIMAL__ twirling an umbrella under the rain
09d	shower rain	summer	enjoying a cup of hot cocoa by a window with rain streaks
09d	shower rain	summer	the __ANIMAL__ jumping into a puddle with a splash
09d	shower rain	summer	wearing a hand-sewn leaf raincoat
09d	shower rain	summer	the __ANIMAL__ catching raindrops on its tongue
09d	shower rain	summer	planting summer flowers in the wet soil
09d	shower rain	summer	the __ANIMAL__ sliding down a muddy hill
09d	shower rain	summer	floating in a rain shower on a lily pad
09d	shower rain	summer	the __ANIMAL__ dancing in the rain with joy
09d	shower rain	summer	making ripples in a pond by throwing pebbles
09d	shower rain	summer	the __ANIMAL__ attempting to keep a paper boat afloat
09d	shower rain	summer	bobbing for apples in a rain barrel
09d	shower rain	summer	the __ANIMAL__ admiring a rainbow after a shower
09d	shower rain	summer	sipping rainwater from a tulip blossom
09d	shower rain	summer	the __ANIMAL__ using a large mushroom as an umbrella
09d	shower rain	summer	playing a harmonica under a tree while it's raining
09d	shower rain	summer	the __ANIMAL__ blowing bubbles into the shower rain
09d	shower rain	summer	skipping stones across a puddle
09d	shower rain	summer	the __ANIMAL__ trying to outswim raindrops falling into a pond
09d	shower rain	summer	making a mud castle in the pouring rain
09d	shower rain	summer	the __ANIMAL__ painting a canvas with rainwater
09d	shower rain	summer	juggling fallen rain-soaked apples
09d	shower rain	summer	the __ANIMAL__ slipping on a banana skin in the rain
09d	shower rain	summer	holding a leaf over a caterpillar's head to shield it from rain
09d	shower rain	summer	the __ANIMAL__ rescuing an earthworm from a puddle
09d	shower rain	summer	creating a raindrop melody by tapping on different sized leaves
09d	shower rain	summer	the __ANIMAL__ playing tag with a frog in the rain
09d	shower rain	summer	splashing water around with its tail
09d	shower rain	summer	the __ANIMAL__ playing hide and seek under lily pads
09d	shower rain	summer	using a dandelion clock to tell time in the rain
09d	shower rain	summer	the __ANIMAL__ making a rain hat out of a lotus leaf
09d	shower rain	summer	racing snails along a wet path
09d	shower rain	summer	the __ANIMAL__ staring at its reflection in a puddle
09d	shower rain	summer	saving ants from water by giving them a leaf boat
09d	shower rain	summer	the __ANIMAL__ chasing a fly in the pouring rain
09d	shower rain	summer	balancing raindrops on the tip of its nose
09d	shower rain	summer	the __ANIMAL__ hanging laundry out to catch the rain
09d	shower rain	summer	jumping over a row of rain-filled tin cans
09d	shower rain	summer	the __ANIMAL__ fishing for guppies in a rain filled birdbath
09d	shower rain	summer	handing out tiny umbrellas to ladybugs
09d	shower rain	summer	the __ANIMAL__ basking on a rock in the warm rain
09d	shower rain	summer	chasing and trying to catch a lightning bug in the rain
09d	shower rain	summer	the __ANIMAL__ practicing a rain dance
09d	shower rain	summer	building a dam with twigs and leaves in a trickling rain stream
09d	shower rain	summer	the __ANIMAL__ pretending to be a submarine in a mud puddle
09d	shower rain	summer	shaking off drops of rain with a big, happy smile
09d	shower rain	summer	conducting a symphony of raindrops falling on a tin roof
09d	shower rain	summer	the __ANIMAL__ joining a family of ducks for a swim in the rain
09d	shower rain	summer	making a swing from a sturdy branch to swing in the rain
09d	shower rain	fall	holding a tiny leaf as an umbrella
09d	shower rain	fall	wearing an acorn cap as a hat
09d	shower rain	fall	sliding down a wet fall leaf
09d	shower rain	fall	sipping rainwater from a tulip petal
09d	shower rain	fall	racing paper boats on a stream
09d	shower rain	fall	laughing under a mushroom cap
09d	shower rain	fall	looking at its reflection in a puddle
09d	shower rain	fall	jumping from lily pad to lily pad
09d	shower rain	fall	catching raindrops with its open mouth
09d	shower rain	fall	playing hide-n-seek under fall foliage
09d	shower rain	fall	making a petal boat for a ladybug
09d	shower rain	fall	dancing in the rain with a frog
09d	shower rain	fall	splashing water with its tail
09d	shower rain	fall	using a pumpkin as a shelter
09d	shower rain	fall	waving to a rainbow in the distance
09d	shower rain	fall	using its tail to shake off a leaf
09d	shower rain	fall	looking curiously at a rainwater-filled shell
09d	shower rain	fall	keeping warm by wrapping up in a fallen leaf
09d	shower rain	fall	balancing on a floating log
09d	shower rain	fall	hitching a ride on a duck's back
09d	shower rain	fall	jumping in puddles playfully
09d	shower rain	fall	catching a falling raindrop on its tongue
09d	shower rain	fall	helping a worm cross a puddle
09d	shower rain	fall	playfully biting a hanging droplet
09d	shower rain	fall	wearing a leaf mask to play pretend
09d	shower rain	fall	juggling small water droplets
09d	shower rain	fall	shaking water off a pinecone
09d	shower rain	fall	observing a cluster of toadstool mushrooms
09d	shower rain	fall	riding on the back of a slow-moving turtle
09d	shower rain	fall	walking under a canopy of leaves to avoid rain
09d	shower rain	fall	telling stories to a group of tadpoles
09d	shower rain	fall	cozying up under a fern frond
09d	shower rain	fall	using a branch as a makeshift diving board
09d	shower rain	fall	fishing for minnows in a shallow pond
09d	shower rain	fall	chasing a fallen leaf carried by the wind
09d	shower rain	fall	drawing pictures in the wet dirt
09d	shower rain	fall	playing leapfrog over puddles
09d	shower rain	fall	poking at a rain-water filled hollow log
09d	shower rain	fall	hopping on floating logs with excitement
09d	shower rain	fall	trying to catch a playful otter's tail
09d	shower rain	fall	playfully splashing a passing fish
09d	shower rain	fall	watching raindrops fall on a pond's surface
09d	shower rain	fall	playing in a leaf pile
09d	shower rain	fall	basking on a mossy rock between showers
09d	shower rain	fall	munching on a soaked apple
09d	shower rain	fall	balancing on a wet pebble
09d	shower rain	fall	rolling down a grassy hill
09d	shower rain	fall	jumping over trickling streams
09d	shower rain	fall	listening attentively to the rain hitting a nearby tin can
09d	shower rain	fall	gazing at its reflection in a raindrop
09d	shower rain	winter	walking around with a tiny umbrella
09d	shower rain	winter	trying to catch raindrops with open mouth
09d	shower rain	winter	dancing joyfully in the rain
09d	shower rain	winter	sipping a cup of hot chocolate
09d	shower rain	winter	diving into a puddle
09d	shower rain	winter	building a tiny, snowy fortress
09d	shower rain	winter	putting rain boots on all four feet
09d	shower rain	winter	playing with a rubber duck in a puddle
09d	shower rain	winter	singing a joyful song to the sky
09d	shower rain	winter	tasting a snowflake
09d	shower rain	winter	curling up cozy with a good book
09d	shower rain	winter	watching raindrops race on a windowpane
09d	shower rain	winter	catching snowflakes on tongue
09d	shower rain	winter	making a teeny-tiny snow-__ANIMAL__
09d	shower rain	winter	wearing a fluffy winter hat
09d	shower rain	winter	trying to ice skate but slipping
09d	shower rain	winter	bouncing on a raincoat like a trampoline
09d	shower rain	winter	sliding down a small snow mound
09d	shower rain	winter	enjoying a tiny cup of tea
09d	shower rain	winter	wearing earmuffs over gills
09d	shower rain	winter	jumping over small snow piles
09d	shower rain	winter	sneezing cutely into a handkerchief
09d	shower rain	winter	wearing a waterproof coat
09d	shower rain	winter	splashing in a puddle barefoot
09d	shower rain	winter	balancing a snowflake on nose tip
09d	shower rain	winter	knocking icicles off a low branch
09d	shower rain	winter	dashing through the snow
09d	shower rain	winter	trying to catch a snowflake
09d	shower rain	winter	watching the rain drop from under a leaf
09d	shower rain	winter	trying to make a snow angel
09d	shower rain	winter	juggling with tiny snowballs
09d	shower rain	winter	blowing out the steam from a hot drink
09d	shower rain	winter	rolling a massive snowball with all the strength
09d	shower rain	winter	watching the rainfall with wide eyes
09d	shower rain	winter	holding an oversized icicle as a sword
09d	shower rain	winter	wearing a scarf loosely around the neck
09d	shower rain	winter	crossing an icy puddle with caution
09d	shower rain	winter	bouncing raindrops off a tiny drum
09d	shower rain	winter	trying to lick a freezing icicle
09d	shower rain	winter	making a tiny snow igloo
09d	shower rain	winter	hopping from one rain puddle to another
09d	shower rain	winter	floating on a leaf in a puddle
09d	shower rain	winter	launching tiny paper boats into puddles
09d	shower rain	winter	shivering cutely in the cold
09d	shower rain	winter	warming up by a small fire
09d	shower rain	winter	trying on a pair of tiny mittens
09d	shower rain	winter	swinging on a low hanging icicle
09d	shower rain	winter	starting a tiny snowball fight
09d	shower rain	winter	spinning around in the falling snow
09d	shower rain	winter	looking at the sky with a hopeful smile
10d	rain	spring	puddling jumping in the garden
10d	rain	spring	holding a small umbrella to stay dry
10d	rain	spring	trying to catch raindrops with mouth
10d	rain	spring	looking curiously at a blossoming flower in rain
10d	rain	spring	wearing a tiny raincoat and boots
10d	rain	spring	making paper boats to sail in puddles
10d	rain	spring	sipping on a warm cup of tea
10d	rain	spring	dancing joyfully in the rain
10d	rain	spring	watching rainy weather from the window
10d	rain	spring	chasing raindrops falling off a leaf
10d	rain	spring	hugging a plush toy tightly for warmth
10d	rain	spring	forging a path through wet grass
10d	rain	spring	sticking tongue out for raindrop tasting
10d	rain	spring	launching a small paper airplane into the rain
10d	rain	spring	bobbing at the surface of a pond in the rain
10d	rain	spring	drawing pictures in the wet soil
10d	rain	spring	swinging on a swing set in the rain
10d	rain	spring	rescuing earthworms stranded in puddles
10d	rain	spring	listening to raindrop tunes on the windowpane
10d	rain	spring	sneezing cutely from the cold raindrops
10d	rain	spring	spotting a rainbow in the rainy sky
10d	rain	spring	shivering under a big leaf for shelter
10d	rain	spring	building a mini raft for rainy day adventures
10d	rain	spring	having a mid-rain snack under a tree
10d	rain	spring	watching spring flowers bloom in the rain
10d	rain	spring	blowing bubbles that get filled with rain
10d	rain	spring	doing a rain dance with froggy friends
10d	rain	spring	watching snails slowly move in the rain
10d	rain	spring	inspecting a daisy up-close under the rain
10d	rain	spring	shaking water off from a leafy umbrella
10d	rain	spring	splashing in puddles with friends
10d	rain	spring	skipping through a soggy meadow
10d	rain	spring	admiring a blooming cherry blossom in the rain
10d	rain	spring	feeling the cool touch of rain on skin
10d	rain	spring	napping cosily during the soft rain
10d	rain	spring	making a soggy mud pie
10d	rain	spring	observing the spring birds in the rain
10d	rain	spring	running down a hill in the rain
10d	rain	spring	watching drops fall onto a lily pad
10d	rain	spring	playing hide and seek in a rainy field
10d	rain	spring	feeling the tickle of a raindrop on the nose
10d	rain	spring	peeking out from a burrow during a rain shower
10d	rain	spring	spreading wings to catch raindrops
10d	rain	spring	listening to the sound of rain on a tin roof
10d	rain	spring	curling up under a large mushroom in the rain
10d	rain	spring	daydreaming while watching the rain
10d	rain	spring	bathing in a rain-filled birdbath
10d	rain	spring	laying on a log, feeling the rain
10d	rain	spring	feeding a small bird in the rain
10d	rain	spring	playing with a leaf boat in a stream full of rainwater
10d	rain	summer	jumping over puddles
10d	rain	summer	using a leaf as an umbrella
10d	rain	summer	splashing rainwater with its tail
10d	rain	summer	making paper boats float on a puddle
10d	rain	summer	licking raindrops off its body
10d	rain	summer	rolling a mud ball
10d	rain	summer	wearing a tiny rain hat
10d	rain	summer	chasing raindrops
10d	rain	summer	singing in the rain
10d	rain	summer	climbing a wet rock
10d	rain	summer	spinning in circles under the rain
10d	rain	summer	catching raindrops on its tongue
10d	rain	summer	sipping on a rain-filled cup
10d	rain	summer	sliding down a wet hill
10d	rain	summer	trying to catch a slippery fish in a puddle
10d	rain	summer	watching a snail on a wet leaf
10d	rain	summer	dancing joyfully under the rain
10d	rain	summer	swinging on an overhanging branch in the rain
10d	rain	summer	diving into a newly-formed puddle
10d	rain	summer	surfing on a leaf down a wet street
10d	rain	summer	making a mud angel
10d	rain	summer	slurping up worms that have come out in the rain
10d	rain	summer	following a trail of ants escaping the rain
10d	rain	summer	wearing rain boots and splashing in puddles
10d	rain	summer	using a mushroom as a makeshift umbrella
10d	rain	summer	painting on the ground with mud
10d	rain	summer	watching droplets fall off a leaf
10d	rain	summer	playing hide-and-seek under big, wet leaves
10d	rain	summer	dodging falling raindrops
10d	rain	summer	whisking its tail to play with water splashes
10d	rain	summer	slipping while running on a wet ground
10d	rain	summer	letting raindrop rings form around it in a puddle
10d	rain	summer	trying to out-leap a frog in the rain
10d	rain	summer	waving at a passing butterfly taking shelter from the rain
10d	rain	summer	plucking fresh, wet flowers
10d	rain	summer	floating on a leaf down a rainwater stream
10d	rain	summer	stretching its limbs towards the rain
10d	rain	summer	diving into a deep puddle
10d	rain	summer	sliding on a banana peel in the wet
10d	rain	summer	nibbling on a wet apple
10d	rain	summer	watching its reflection in the water puddles
10d	rain	summer	using its tail to create waves in a water puddle
10d	rain	summer	playing tag with a rain-soaked squirrel
10d	rain	summer	making bubbles in a water puddle
10d	rain	summer	catching rainwater in its mouth
10d	rain	summer	running under the falling droplets
10d	rain	summer	tasting the wet grass
10d	rain	summer	skipping over wet stones
10d	rain	summer	taking a nap under a leaf umbrella
10d	rain	summer	enjoying a wet slide down a grassy slope
10d	rain	fall	splashing in puddles with oversized leaf
10d	rain	fall	head poking out from a pumpkin carved as an umbrella
10d	rain	fall	sipping hot tea from an acorn cup
10d	rain	fall	wrapped in a leaf, using a mushroom cap like an umbrella
10d	rain	fall	catching raindrops on his tongue
10d	rain	fall	sliding down a muddy hill
10d	rain	fall	hopping from leaf to leaf in the pouring rain
10d	rain	fall	making a rain dance under the storm
10d	rain	fall	making a boat out of a walnut shell and sailing on a puddle
10d	rain	fall	making paper boats and sailing them in puddles
10d	rain	fall	wading against the rain, with a wildflower as an umbrella
10d	rain	fall	spreading arms wide, soaking in the rain
10d	rain	fall	walking under the drizzle with a twig as a walking stick
10d	rain	fall	looking out a snail shell at the rain
10d	rain	fall	jumping on a lily pad to make a splash
10d	rain	fall	playing with earthworms that have emerged after the rain
10d	rain	fall	contemplatively watching his reflection in a rain puddle
10d	rain	fall	floating on his back in a puddle, eyes closed
10d	rain	fall	chasing falling leaves in the breeze
10d	rain	fall	slipping and sliding in the rainy mud
10d	rain	fall	mixing mud to make fall sculptures
10d	rain	fall	dancing along to the rhythm of raindrops
10d	rain	fall	using a stick to draw patterns on wet ground
10d	rain	fall	finding a cozy spot under a big toadstool
10d	rain	fall	hiding under a flower as it drizzles
10d	rain	fall	slurping soup from a nut shell
10d	rain	fall	hopping over puddles in the rain
10d	rain	fall	resting under a canopy of twigs and leaves
10d	rain	fall	lazing on a fallen leaf, floating in a puddle
10d	rain	fall	gazing skyward with hands spread, catching raindrops
10d	rain	fall	walking a pet ant under a leaf umbrella
10d	rain	fall	snuggling under a patchwork leaf blanket
10d	rain	fall	singing a rain hymn on a makeshift leaf stage
10d	rain	fall	ever so often, sticking tongue out to catch a raindrop
10d	rain	fall	fashioning a sailboat out of a leaf
10d	rain	fall	observing raindrops ripple in a puddle
10d	rain	fall	dancing and jumping around in the pitter-patter
10d	rain	fall	cozied up inside a pumpkin, looking at the rain
10d	rain	fall	creating music by tapping different sized leaves in the rain
10d	rain	fall	playing a game of 'jump the puddle' with a friend
